Province,Capacity_10kt_per_year,Capacity_tons_per_second
Anhui,161.492652,0.05120898401826484
Chongqing,37.5749595,0.01191494149543379
Fujian,62.4817575,0.019812835331050226
Gansu,300.120354,0.0951675399543379
Guangdong,40.998789,0.013000630707762558
Guangxi,308.4184665,0.09779885416666667
Guizhou,117.275463,0.037187805365296804
Hebei,5.17932,0.001642351598173516
Heilongjiang,15.09597,0.004786900684931507
Henan,297.76725,0.09442137557077626
Hubei,72.7781445,0.023077798230593607
Hunan,123.494382,0.03915981164383562
InnerMongolia,505.749267,0.16037204052511414
Jiangsu,58.572369,0.018573176369863015
Jiangxi,160.801659,0.05098987157534247
Jilin,8.291889,0.0026293407534246577
Liaoning,56.38734,0.017880308219178083
Ningxia,90.8684055,0.028814182363013696
Qinghai,186.2064675,0.05904568350456621
Shaanxi,124.079544,0.03934536529680365
Shandong,526.9147515,0.16708357163242007
Shanxi,92.860452,0.02944585616438356
Sichuan,106.095105,0.03364253710045662
Tibet,0.26145,8.290525114155251e-05
Xinjiang,535.922532,0.16993992009132422
Yunnan,461.2457205,0.14626005850456622
Zhejiang,43.0655355,0.013655991723744293
