Province,Year,Scenario,Demand_tons_per_second
Anhui,2030,low,0.02173395767575385
Chongqing,2030,low,0.005056902399752312
Fujian,2030,low,0.008408901929554763
Gansu,2030,low,0.04039071122237972
Guangdong,2030,low,0.005517687237455006
Guangxi,2030,low,0.04150748541383733
Guizhou,2030,low,0.015783132654521255
Hebei,2030,low,0.0006970417556161344
Heilongjiang,2030,low,0.002031641495703779
Henan,2030,low,0.04007402645617347
Hubei,2030,low,0.009794607325433594
Hunan,2030,low,0.016620085423957112
InnerMongolia,2030,low,0.06806460249053024
Jiangsu,2030,low,0.00788276973007191
Jiangxi,2030,low,0.021640962654430888
Jilin,2030,low,0.0011159366221693413
Liaoning,2030,low,0.007588704785208074
Ningxia,2030,low,0.012229225631889669
Qinghai,2030,low,0.025059985290207726
Shaanxi,2030,low,0.01669883752805569
Shandong,2030,low,0.07091308964219226
Shanxi,2030,low,0.01249731866140493
Sichuan,2030,low,0.014278460927588587
Tibet,2030,low,3.518638875486325e-05
Xinjiang,2030,low,0.07212537216845533
Yunnan,2030,low,0.06207523898653662
Zhejiang,2030,low,0.005795833520900227
Anhui,2035,low,0.01393285409233727
Chongqing,2035,low,0.0032417972072127602
Fujian,2035,low,0.005390642855256969
Gansu,2035,low,0.02589302392794076
Guangdong,2035,low,0.0035371896988819172
Guangxi,2035,low,0.02660894746546679
Guizhou,2035,low,0.01011799542799197
Hebei,2035,low,0.00044684825571831134
Heilongjiang,2035,low,0.0013024118731563134
Henan,2035,low,0.025690008779634847
Hubei,2035,low,0.006278968459998652
Hunan,2035,low,0.010654535573726054
InnerMongolia,2035,low,0.04363375458356783
Jiangsu,2035,low,0.005053358533734022
Jiangxi,2035,low,0.013873238348038103
Jilin,2035,low,0.0007153866021523777
Liaoning,2035,low,0.0048648441346731556
Ningxia,2035,low,0.00783971418981241
Qinghai,2035,low,0.01606505008492301
Shaanxi,2035,low,0.010705020698995904
Shandong,2035,low,0.045459816659334136
Shanxi,2035,low,0.008011578933414807
Sichuan,2035,low,0.009153404811732255
Tibet,2035,low,2.2556721047850397e-05
Xinjiang,2035,low,0.0462369671355199
Yunnan,2035,low,0.039794190291961254
Zhejiang,2035,low,0.0037154992199265576
Anhui,2040,low,0.009502914889810634
Chongqing,2040,low,0.0022110705205124846
Fujian,2040,low,0.003676692507893717
Gansu,2040,low,0.01766035881782311
Guangdong,2040,low,0.0024125432186989193
Guangxi,2040,low,0.018148655070667936
Guizhou,2040,low,0.006900987318928518
Hebei,2040,low,0.000304773229850074
Heilongjiang,2040,low,0.0008883111170230497
Henan,2040,low,0.017521892164622854
Hubei,2040,low,0.004282575736150769
Hunan,2040,low,0.007266934978043226
InnerMongolia,2040,low,0.029760439130599663
Jiangsu,2040,low,0.0034466474518084133
Jiangxi,2040,low,0.009462253921109378
Jilin,2040,low,0.000487930035620178
Liaoning,2040,low,0.0033180710468660502
Ningxia,2040,low,0.005347083678081529
Qinghai,2040,low,0.01095718096563793
Shaanxi,2040,low,0.0073013684003313895
Shandong,2040,low,0.031005906310153483
Shanxi,2040,low,0.005464304171469954
Sichuan,2040,low,0.006243087475215421
Tibet,2040,low,1.538483062338335e-05
Xinjiang,2040,low,0.031535962448172666
Yunnan,2040,low,0.027141661065798114
Zhejiang,2040,low,0.0025341593779797393
Anhui,2045,low,0.009660240162943621
Chongqing,2045,low,0.002247675843993694
Fujian,2045,low,0.00373756190004734
Gansu,2045,low,0.017952734452757996
Guangdong,2045,low,0.0024524840184669897
Guangxi,2045,low,0.018449114682176262
Guizhou,2045,low,0.007015236444320752
Hebei,2045,low,0.0003098188955416817
Heilongjiang,2045,low,0.0009030175298167252
Henan,2045,low,0.01781197541829503
Hubei,2045,low,0.00435347581314978
Hunan,2045,low,0.007387242540882305
InnerMongolia,2045,low,0.030253137346785888
Jiangsu,2045,low,0.003503708338708525
Jiangxi,2045,low,0.00961890603257766
Jilin,2045,low,0.0004960079492933859
Liaoning,2045,low,0.003373003290264608
Ningxia,2045,low,0.005435607190064269
Qinghai,2045,low,0.011138582304929616
Shaanxi,2045,low,0.007422246024844092
Shandong,2045,low,0.03151922382751977
