materials,coal,crude_oil,iron_ore,copper_ore,salt,sulfur,quartz_sand,limestone,phosphate_ore,alumina,steel,aluminum,copper,soda_ash,sulfuric_acid,ammonia,plastic,chemical_fiber,glass,tire,freight_vehicle,road_vehicle,industrial_boiler,machine_tool,lifting_equipment,forklift,pump,bearings,mining_equipment,washing_machine,refrigerator,air_conditioner,television,computer,nitrogen_fertilizer,monoammonium_phosphate,diammonium_phosphate
coal,0,0,0,0,0,0,0,0,0,0,0.27,0,0,0.0675,0,1,0,0,0,0.004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
crude_oil,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.5,0.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
iron_ore,0,0,0,0,0,0,0,0,0,0,1.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
copper_ore,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
salt,0,0,0,0,0,0,0,0,0,0,0,0,0,1.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sulfur,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
quartz_sand,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.035,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
limestone,0,0,0,0,0,0,0,0,0,0,0.4,0,0,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
phosphate_ore,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.65,1.73
alumina,0,0,0,0,0,0,0,0,0,0,0,1.95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
