,load,onwind,offwind,solar,prices,total_renewables
2015-10-29 00:00:00,44.995,0.0651,0.1338,0.0,35.44,0.19890000000000002
2015-10-29 01:00:00,43.987,0.0533,0.1203,0.0,33.1,0.1736
2015-10-29 02:00:00,44.497,0.0441,0.1074,0.0,32.08,0.1515
2015-10-29 03:00:00,46.307,0.0379,0.0904,0.0,32.66,0.1283
2015-10-29 04:00:00,50.047,0.0329,0.0731,0.0,34.05,0.106
2015-10-29 05:00:00,58.13,0.0294,0.0605,0.0,34.8,0.0899
2015-10-29 06:00:00,63.476,0.0259,0.0488,0.0022,45.02,0.0769
2015-10-29 07:00:00,66.057,0.0162,0.0366,0.0613,53.42,0.11410000000000001
2015-10-29 08:00:00,66.409,0.0067,0.0269,0.1345,56.03,0.1681
2015-10-29 09:00:00,67.351,0.0048,0.0219,0.1654,56.88,0.1921
2015-10-29 10:00:00,68.382,0.0063,0.0197,0.1928,56.19,0.2188
2015-10-29 11:00:00,67.265,0.0073,0.0185,0.1907,55.51,0.2165
2015-10-29 12:00:00,66.552,0.0081,0.0166,0.1703,53.91,0.195
2015-10-29 13:00:00,65.818,0.0071,0.0133,0.1335,54.24,0.1539
2015-10-29 14:00:00,65.105,0.0042,0.0105,0.0908,55.17,0.10550000000000001
2015-10-29 15:00:00,64.572,0.0027,0.0098,0.0351,55.29,0.0476
2015-10-29 16:00:00,68.195,0.0028,0.0107,0.0005,54.85,0.014
2015-10-29 17:00:00,68.551,0.0039,0.013,0.0,64.51,0.0169
2015-10-29 18:00:00,66.738,0.0062,0.0227,0.0,78.88,0.028900000000000002
2015-10-29 19:00:00,62.636,0.0098,0.0364,0.0,64.96,0.046200000000000005
2015-10-29 20:00:00,58.689,0.0129,0.0463,0.0,52.94,0.0592
2015-10-29 21:00:00,55.285,0.0137,0.0527,0.0,47.16,0.0664
2015-10-29 22:00:00,50.438,0.0134,0.0567,0.0,44.32,0.0701
2015-10-29 23:00:00,47.063,0.0133,0.0685,0.0,39.99,0.08180000000000001
2015-10-30 00:00:00,44.843,0.0167,0.0851,0.0,36.25,0.1018
2015-10-30 01:00:00,43.786,0.023,0.0953,0.0,35.09,0.11829999999999999
2015-10-30 02:00:00,44.433,0.0289,0.1208,0.0,34.32,0.1497
2015-10-30 03:00:00,45.994,0.034,0.1484,0.0,34.02,0.1824
2015-10-30 04:00:00,49.608,0.0379,0.163,0.0,34.02,0.20090000000000002
2015-10-30 05:00:00,57.802,0.0399,0.1777,0.0,36.78,0.2176
2015-10-30 06:00:00,63.364,0.0398,0.1961,0.0006,43.0,0.2365
2015-10-30 07:00:00,66.067,0.0343,0.2159,0.0375,52.05,0.28769999999999996
2015-10-30 08:00:00,66.559,0.0246,0.2308,0.091,55.0,0.34640000000000004
2015-10-30 09:00:00,67.533,0.0228,0.2392,0.1152,54.0,0.3772
2015-10-30 10:00:00,67.959,0.0261,0.2316,0.1526,52.0,0.4103
2015-10-30 11:00:00,66.401,0.0258,0.2124,0.1803,49.36,0.4185
2015-10-30 12:00:00,64.798,0.0258,0.2034,0.187,45.65,0.4162
2015-10-30 13:00:00,63.318,0.0284,0.2112,0.1532,44.95,0.39280000000000004
2015-10-30 14:00:00,62.617,0.0349,0.2321,0.0989,44.76,0.3659
2015-10-30 15:00:00,62.306,0.0586,0.2612,0.0287,46.2,0.3485
2015-10-30 16:00:00,66.092,0.1041,0.292,0.0001,47.51,0.3962
2015-10-30 17:00:00,66.605,0.1318,0.3065,0.0,52.0,0.4383
2015-10-30 18:00:00,64.357,0.1401,0.3036,0.0,50.05,0.4437
2015-10-30 19:00:00,60.011,0.1425,0.295,0.0,46.94,0.4375
2015-10-30 20:00:00,56.247,0.1434,0.286,0.0,38.28,0.4294
2015-10-30 21:00:00,53.069,0.1445,0.2796,0.0,34.96,0.42410000000000003
2015-10-30 22:00:00,48.961,0.1398,0.2592,0.0,35.04,0.399
2015-10-30 23:00:00,45.514,0.1294,0.2388,0.0,34.47,0.36819999999999997
2015-10-31 00:00:00,43.351,0.1216,0.2319,0.0,33.23,0.3535
2015-10-31 01:00:00,42.083,0.1117,0.2327,0.0,31.93,0.3444
2015-10-31 02:00:00,42.09,0.1028,0.2414,0.0,28.49,0.3442
2015-10-31 03:00:00,42.455,0.0954,0.261,0.0,28.28,0.3564
2015-10-31 04:00:00,42.783,0.0917,0.3016,0.0,27.95,0.3933
2015-10-31 05:00:00,43.988,0.092,0.3522,0.0,29.19,0.44420000000000004
2015-10-31 06:00:00,47.106,0.0943,0.4015,0.0028,30.69,0.49860000000000004
2015-10-31 07:00:00,50.651,0.0954,0.4517,0.0795,32.94,0.6266
2015-10-31 08:00:00,53.404,0.1089,0.4755,0.1977,37.6,0.7821
2015-10-31 09:00:00,54.73,0.1258,0.4463,0.2941,39.14,0.8661999999999999
2015-10-31 10:00:00,55.383,0.1271,0.398,0.3736,37.98,0.8987
2015-10-31 11:00:00,54.065,0.1202,0.3443,0.4316,37.06,0.8961
2015-10-31 12:00:00,52.108,0.1167,0.2971,0.4238,33.85,0.8375999999999999
2015-10-31 13:00:00,50.546,0.1104,0.2628,0.3367,32.01,0.7099
2015-10-31 14:00:00,49.909,0.1025,0.2347,0.2066,33.21,0.5438000000000001
2015-10-31 15:00:00,50.487,0.1573,0.2158,0.0544,36.96,0.4275
2015-10-31 16:00:00,55.371,0.2384,0.2147,0.0001,39.9,0.4532
2015-10-31 17:00:00,56.887,0.271,0.2154,0.0,45.39,0.48640000000000005
2015-10-31 18:00:00,54.643,0.2619,0.2015,0.0,50.03,0.46340000000000003
2015-10-31 19:00:00,51.071,0.2409,0.1713,0.0,47.56,0.4122
2015-10-31 20:00:00,48.665,0.2194,0.1405,0.0,38.94,0.3599
2015-10-31 21:00:00,47.395,0.2005,0.1213,0.0,36.54,0.32180000000000003
2015-10-31 22:00:00,44.446,0.1844,0.1077,0.0,36.08,0.2921
2015-10-31 23:00:00,41.409,0.1673,0.0922,0.0,32.52,0.2595
2015-11-01 00:00:00,39.364,0.1506,0.0758,0.0,25.71,0.22640000000000002
2015-11-01 01:00:00,38.314,0.1337,0.0622,0.0,24.46,0.19590000000000002
2015-11-01 02:00:00,38.158,0.1165,0.051,0.0,27.3,0.1675
2015-11-01 03:00:00,38.601,0.1044,0.0413,0.0,24.48,0.1457
2015-11-01 04:00:00,38.574,0.0962,0.0319,0.0,24.42,0.1281
2015-11-01 05:00:00,38.435,0.0904,0.0249,0.0,24.85,0.11529999999999999
2015-11-01 06:00:00,40.143,0.0848,0.0202,0.0049,24.86,0.1099
2015-11-01 07:00:00,43.437,0.0624,0.0177,0.1444,24.83,0.2245
2015-11-01 08:00:00,46.333,0.0308,0.0196,0.3185,26.26,0.3689
2015-11-01 09:00:00,48.267,0.0246,0.0277,0.4335,27.3,0.4858
2015-11-01 10:00:00,50.126,0.0235,0.037,0.4978,26.93,0.5583
2015-11-01 11:00:00,49.203,0.0209,0.042,0.515,27.69,0.5779
2015-11-01 12:00:00,47.187,0.0192,0.0408,0.4785,25.81,0.5385
2015-11-01 13:00:00,45.527,0.0167,0.0359,0.3887,26.94,0.44129999999999997
2015-11-01 14:00:00,45.004,0.016,0.0282,0.2419,27.26,0.2861
2015-11-01 15:00:00,46.314,0.0191,0.0187,0.0703,28.56,0.1081
2015-11-01 16:00:00,52.067,0.0228,0.0102,0.0002,34.05,0.0332
2015-11-01 17:00:00,54.416,0.0283,0.0057,0.0,47.98,0.034
2015-11-01 18:00:00,52.874,0.0376,0.0044,0.0,51.54,0.042
2015-11-01 19:00:00,50.229,0.0498,0.0051,0.0,50.34,0.0549
2015-11-01 20:00:00,48.232,0.0608,0.0064,0.0,46.48,0.0672
2015-11-01 21:00:00,47.431,0.0687,0.0081,0.0,40.0,0.0768
2015-11-01 22:00:00,44.348,0.0718,0.0088,0.0,36.9,0.0806
