Excess_Rate,Al_Capacity,System_Cost,Wind,Solar,Battery,H2_Store,System_Cost_Million
0,5.5,90993.16,370.47,225.87,54.45,50.74,90.99
1,5.55,90035.52,380.93,219.54,53.49,48.45,90.04
2,5.61,89092.96,390.87,214.68,52.22,47.16,89.09
3,5.67,88221.07,387.47,219.86,58.65,45.22,88.22
4,5.72,87393.41,382.24,225.31,65.56,43.12,87.39
5,5.78,86574.35,379.37,227.75,68.34,41.97,86.57
6,5.83,85842.13,374.96,227.35,67.49,41.48,85.84
7,5.89,85220.64,368.93,221.56,59.56,42.48,85.22
8,5.94,84661.17,361.08,218.08,55.46,43.42,84.66
9,6.0,84159.36,352.59,216.15,52.08,44.33,84.16
10,6.05,83790.1,359.54,198.83,39.5,44.89,83.79
11,6.11,83516.74,361.75,198.35,39.09,44.68,83.52
12,6.16,83243.23,365.28,197.0,37.95,44.4,83.24
13,6.21,83010.33,357.51,203.66,42.94,44.58,83.01
14,6.27,82818.41,345.6,210.71,51.65,45.01,82.82
15,6.32,82659.95,341.44,211.78,51.87,45.31,82.66
16,6.38,82508.05,338.45,211.53,51.32,45.59,82.51
17,6.43,82357.35,337.8,208.58,48.78,45.86,82.36
18,6.49,82219.89,341.59,204.23,39.61,46.0,82.22
19,6.54,82152.94,342.69,196.63,39.25,46.27,82.15
20,6.6,82152.94,342.69,196.63,39.25,46.27,82.15
30,7.15,82152.94,342.69,196.63,39.25,46.27,82.15
40,7.7,82152.94,342.69,196.63,39.25,46.27,82.15
50,8.25,82152.94,342.69,196.63,39.25,46.27,82.15
