year_month,smelter_power_MW_mean,smelter_energy_MWh,smelter_production_tonnes,smelter_production_Mt,storage_Mt_mean,storage_Mt_min,storage_Mt_max
Jan-50,1.338592637,995.9129218,74.32185984,7.43E-05,1.493065197,0.998327714,1.987803093
Feb-50,738.6074572,496344.2112,37040.61278,3.70E-02,0.555266207,0.140656642,0.996995983
Mar-50,21438.54366,15950276.48,1190319.141,1.19E+00,0.162583555,0.033304287,0.34904356
Apr-50,25304.62989,18219333.52,1359651.755,1.36E+00,0.554807269,0.349614333,0.760000205
May-50,25303.79146,18826020.85,1404926.929,1.40E+00,0.972594853,0.760570978,1.184608503
Jun-50,25288.63346,18207816.09,1358792.246,1.36E+00,1.390328279,1.185179276,1.594699176
Jul-50,24830.49617,18473889.15,1378648.444,1.38E+00,1.798498893,1.595173105,1.992831407
Aug-50,24934.19598,18551041.81,1384406.105,1.38E+00,2.195113586,1.993402069,2.396764589
Sep-50,25022.07842,18015896.46,1344469.885,1.34E+00,2.597121193,2.397335252,2.792425215
Oct-50,25034.63587,18625769.08,1389982.768,1.39E+00,3.00099094,2.792995988,3.201976989
Nov-50,13611.8786,9800552.589,731384.5215,7.31E-01,3.246015001,2.979942587,3.357780135
Dec-50,1.326933799,987.2387467,73.67453334,7.37E-05,2.483872754,1.989134824,2.978610856
,,,,1.16E+01,,,
