Capacity_Ratio,Capacity_Value_Mt,Power_Cost_Changes_Billion_CNY,Aluminum_Cost_Changes_Billion_CNY,Aluminum_Maintenance_Billion_CNY,Aluminum_Labor_Billion_CNY,Aluminum_Restart_Billion_CNY,Net_Cost_Savings_Billion_CNY,Emissions_Changes_Million_Tonnes_CO2,Is_Max_Savings
5p,1333.3494528456479,9.848455965330913,-0.0,0.0,0.0,0.0,9.848455965330913,331.7944333442707,False
10p,1500.0152711169296,13.96535023590438,-1.1018583364406764,0.8271093704323054,-0.00035981708397147047,0.2783471368480543,12.863491899463703,483.3447877342024,False
15p,1666.6810893882111,16.830120968983966,-2.2037864616227907,1.6542187408646107,-0.00071265529379337,0.5566942736961086,14.626334507361175,534.1439336667347,True
20p,1833.3469076594931,17.947698645385085,-3.329017363187993,2.4813281112969188,0.001246994746901034,0.8352193044221884,14.618681282197095,490.6938960321865,False
30p,2166.6785442020564,18.715158504906757,-5.58438889040453,4.1355468521615295,0.0006653132073369841,1.4421889061696014,13.130769614502228,415.6436761499605,False
40p,2500.01018074462,19.40817006902182,-7.850538776641177,5.789765593026142,0.0008394568934968322,2.0523786146799985,11.557631292380641,342.13607447683336,False
50p,2833.3418172871834,20.495685436603797,-9.981757384418907,7.443984333890753,0.003237389320557047,2.5053991573225174,10.513928052184891,522.6928500972118,False
60p,3166.6734538297464,22.679478317381015,-12.171170854600234,9.098203074755363,0.0010842004889029216,3.0621257749559607,10.508307462780781,533.9226788810978,False
70p,3500.00509037231,23.727274236033587,-14.368131555723268,10.752421815619977,-0.0002803038921491364,3.618512779024708,9.35914268031032,355.9673172187939,False
80p,3833.336726914873,24.745565883513837,-16.56532495715729,12.406640556484591,-0.0016522652048018768,4.175207052720818,8.180240926356545,335.2402755932083,False
90p,4166.6683634574365,25.240250652029495,-18.805262178826162,14.060859297349195,0.0012501555060136814,4.731901326416927,6.434988473203335,330.653688865963,False
100p,4500.0,25.93627602823245,-21.03205993616713,15.715078038213813,0.002838629784041767,5.288595600113036,4.904216092065319,289.03398721482847,False
