Capacity_Ratio,Capacity_Value_Mt,Power_Cost_Changes_Billion_CNY,Aluminum_Cost_Changes_Billion_CNY,Aluminum_Maintenance_Billion_CNY,Aluminum_Labor_Billion_CNY,Aluminum_Restart_Billion_CNY,Net_Cost_Savings_Billion_CNY,Emissions_Changes_Million_Tonnes_CO2,Is_Max_Savings
5p,1333.3494528456479,9.779301298703594,-0.0,0.0,0.0,0.0,9.779301298703594,337.17252155749514,False
10p,1500.0152711169296,14.00287063753701,-1.6017208279993969,0.8271085569695855,0.4962651341817514,0.2783471368480543,12.401149809537612,484.31039562755774,False
15p,1666.6810893882111,16.636560629105645,-3.203441655998788,1.654217113939171,0.9925302683635028,0.5566942736961086,13.433118973106858,531.3575703428697,True
20p,1833.3469076594931,17.820865839539145,-4.805340377876076,2.4813256709087597,1.4887954025452559,0.8352193044221884,13.01552546166307,493.1214013813343,False
30p,2166.6785442020564,18.70292680208076,-8.065725056049715,4.135542784847931,2.4813256709087583,1.4488566002929903,10.637201746031046,422.93234052277944,False
40p,2500.01018074462,19.405329117492283,-11.315994452739433,5.789759898787104,3.4738559392722625,2.0523786146799985,8.08933466475285,339.62007414212036,False
50p,2833.3418172871834,20.411969242122378,-14.415762377684628,7.443977012726275,4.466386207635765,2.5053991573225174,5.9962068644377515,521.2607758160696,False
60p,3166.6734538297464,22.756587577094386,-17.61923637762056,9.098194126665447,5.45891647599927,3.0621257749559607,5.1373511994738275,538.5389141804266,False
70p,3500.00509037231,23.73065227829435,-20.822370763992154,10.75241124060462,6.451446744362772,3.618512779024708,2.9082815143021965,334.44114094299505,False
80p,3833.336726914873,24.788022152192333,-24.025812419990757,12.406628354543795,7.443977012726276,4.175207052720818,0.7622097322015763,337.6910501065941,False
90p,4166.6683634574365,25.20181660413208,-27.229254075989573,14.060845468482961,8.436507281089778,4.731901326416927,-2.0274374718574943,335.9880510346012,False
100p,4500.0,25.76913504229332,-30.432695731988318,15.715062582422137,9.429037549453282,5.288595600113036,-4.663560689694999,286.2509591465912,False
