year,market,flexibility,capacity,net_value
2030,L,L,29.822963189282333,8.508165806473507
2030,L,M,33.81692024473435,16.22710698236783
2030,L,H,29.822963189282333,8.57375562343771
2030,L,N,29.822963189282333,9.279677475245041
2030,M,L,29.822963189282333,10.011565471259567
2030,M,M,33.81692024473435,20.550621492627087
2030,M,H,29.822963189282333,10.096572652963998
2030,M,N,29.822963189282333,10.075916065774612
2030,H,L,29.822963189282333,9.996122986774175
2030,H,M,35.41450306691515,13.855366036189977
2030,H,H,29.822963189282333,10.244435387871578
2030,H,N,29.822963189282333,9.953642333830777
2040,L,L,16.577618223549276,6.114250852696406
2040,L,M,18.073533053888788,6.121438380174479
2040,L,H,21.06536271456781,2.315607864146801
2040,L,N,24.05719237524683,3.6352701938830414
2040,M,L,16.577618223549276,7.537308113859992
2040,M,M,18.073533053888788,12.281831635512665
2040,M,H,16.577618223549276,2.124841836546984
2040,M,N,21.06536271456781,9.288395657808158
2040,H,L,16.577618223549276,8.42660128883379
2040,H,M,18.073533053888788,13.963556947325237
2040,H,H,27.04902203592586,14.935798669495021
2040,H,N,18.073533053888788,11.10727544051628
2050,L,L,13.33349452845648,9.519483544627485
2050,L,M,18.33346907659493,14.385045552379326
2050,L,H,18.33346907659493,10.577501061110338
2050,L,N,15.000152711169296,16.53709031512759
2050,M,L,13.33349452845648,6.671225859440344
2050,M,M,18.33346907659493,16.75128447048519
2050,M,H,18.33346907659493,13.607755946815473
2050,M,N,21.66678544202056,14.565473290044757
2050,H,L,13.33349452845648,11.355458093742461
2050,H,M,18.33346907659493,22.882890477809333
2050,H,H,18.33346907659493,14.685153156090005
2050,H,N,18.33346907659493,24.36433491290476
