Scenario,Flexibility,Demand,Market,Category,Cost_Type,Carrier,Value_100p_EUR,Value_100p_Billion_EUR,Value_Non_Flex_EUR,Value_Non_Flex_Billion_EUR,Difference_EUR,Difference_Billion_EUR,Difference_Percent
HHHU,H,H,H,capital - AC,capital,AC,9414145946.255308,9.414145946255308,9334758293.180794,9.334758293180794,79387653.07451439,0.07938765307451438,0.8504521550655305
HHHU,H,H,H,capital - CHP coal,capital,CHP coal,28577249283.61658,28.57724928361658,28577824233.9604,28.5778242339604,-574950.3438186646,-0.0005749503438186646,-0.0020118758486009003
HHHU,H,H,H,capital - CHP gas,capital,CHP gas,2985889773.114156,2.9858897731141556,2986495912.1859145,2.9864959121859145,-606139.0717587471,-0.0006061390717587471,-0.020295995359829372
HHHU,H,H,H,capital - DAC,capital,DAC,25882.82543641045,2.588282543641045e-05,172540.41154847146,0.00017254041154847146,-146657.586112061,-0.000146657586112061,-84.99897780228764
HHHU,H,H,H,capital - H2,capital,H2,6092492467.547563,6.0924924675475625,6573282791.45476,6.573282791454759,-480790323.907197,-0.480790323907197,-7.314310659693851
HHHU,H,H,H,capital - H2 CHP,capital,H2 CHP,89120.6777617159,8.912067776171589e-05,670049.6663876481,0.0006700496663876481,-580928.9886259323,-0.0005809289886259323,-86.69939226413162
HHHU,H,H,H,capital - OCGT gas,capital,OCGT gas,762133637.6405561,0.7621336376405561,762290954.4027784,0.7622909544027784,-157316.76222229004,-0.00015731676222229004,-0.02063736442281948
HHHU,H,H,H,capital - PHS,capital,PHS,2825336461.717002,2.825336461717002,2825336461.717002,2.825336461717002,0.0,0.0,0.0
HHHU,H,H,H,capital - Sabatier,capital,Sabatier,6620961976.126308,6.620961976126308,7278158198.415347,7.278158198415347,-657196222.2890387,-0.6571962222890386,-9.0297051035814
HHHU,H,H,H,capital - aluminum,capital,aluminum,165280133338.62173,165.28013333862174,0.0,0.0,165280133338.62173,165.28013333862174,0.0
HHHU,H,H,H,capital - aluminum transfer,capital,aluminum transfer,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HHHU,H,H,H,capital - battery,capital,battery,3347815596.4864545,3.3478155964864547,3327989345.702526,3.3279893457025262,19826250.783928394,0.019826250783928395,0.5957426158689563
HHHU,H,H,H,capital - biomass,capital,biomass,28440035514.907787,28.440035514907787,28252040573.45112,28.25204057345112,187994941.45666885,0.18799494145666884,0.66542075418556
HHHU,H,H,H,capital - co2 atmosphere,capital,co2 atmosphere,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HHHU,H,H,H,capital - co2 stored,capital,co2 stored,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HHHU,H,H,H,capital - coal,capital,coal,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HHHU,H,H,H,capital - coal boiler,capital,coal boiler,11305225548.715996,11.305225548715995,11113901975.480837,11.113901975480838,191323573.23515892,0.19132357323515892,1.7214797616287363
HHHU,H,H,H,capital - coal cc,capital,coal cc,2285004744.9040327,2.2850047449040325,2876522780.797464,2.876522780797464,-591518035.8934312,-0.5915180358934312,-20.563648577448205
HHHU,H,H,H,capital - coal power plant,capital,coal power plant,20951665810.51416,20.95166581051416,20951665810.51416,20.95166581051416,0.0,0.0,0.0
HHHU,H,H,H,capital - gas,capital,gas,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HHHU,H,H,H,capital - gas boiler,capital,gas boiler,10310437291.36773,10.310437291367728,11068347611.870584,11.068347611870584,-757910320.5028553,-0.7579103205028553,-6.8475471414541715
HHHU,H,H,H,capital - heat pump,capital,heat pump,54745217599.08404,54.745217599084036,54570749642.46885,54.57074964246885,174467956.6151886,0.1744679566151886,0.31970965720326405
HHHU,H,H,H,capital - hydro_inflow,capital,hydro_inflow,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HHHU,H,H,H,capital - hydroelectricity,capital,hydroelectricity,17498452351.438705,17.498452351438704,17498452351.438705,17.498452351438704,0.0,0.0,0.0
HHHU,H,H,H,capital - nuclear,capital,nuclear,97842018258.42224,97.84201825842224,98763557828.23492,98.76355782823492,-921539569.8126831,-0.9215395698126831,-0.9330765214183381
