Scenario,Total_100p_Billion_EUR,Total_Non_Flex_Billion_EUR,Total_Difference_Billion_EUR,Total_Difference_Percent,Top_5_Changes
HHHU,729.1785184496639,564.6768434189423,164.50167503072157,29.13200301161903,capital - aluminum: 165.28B; shutdown - aluminum: 2.26B; startup - aluminum: 2.26B; marginal - aluminum: 0.32B; capital - coal boiler: 0.19B
HHLU,662.7103526046488,497.1404652823405,165.56988732230835,33.30444791459018,capital - aluminum: 165.28B; shutdown - aluminum: 2.84B; startup - aluminum: 2.84B; capital - solar: 1.86B; capital - onwind: 0.55B
HHMU,718.1880854373161,553.265901274813,164.92218416250304,29.808846665318793,capital - aluminum: 165.28B; shutdown - aluminum: 2.26B; startup - aluminum: 2.26B; capital - biomass: 0.43B; capital - heat pump: 0.37B
HLHU,730.6037751215098,564.6768434189423,165.92693170256737,29.38440519323079,capital - aluminum: 165.28B; shutdown - aluminum: 1.32B; startup - aluminum: 1.32B; capital - onwind: 0.59B; capital - biomass: 0.17B
HLLU,662.3216899710904,497.1404652823405,165.18122468875,33.22626827308029,capital - aluminum: 165.28B; shutdown - aluminum: 1.06B; startup - aluminum: 1.06B; capital - solar: 0.80B; capital - AC: 0.15B
HLMU,719.1969352633279,553.265901274813,165.93103398851488,29.991191144471998,capital - aluminum: 165.28B; shutdown - aluminum: 1.32B; startup - aluminum: 1.32B; capital - onwind: 0.56B; capital - biomass: 0.20B
HMHU,729.2835150407526,564.6768434189423,164.6066716218102,29.15059711412426,capital - aluminum: 165.28B; shutdown - aluminum: 1.32B; startup - aluminum: 1.32B; capital - onwind: 0.81B; capital - biomass: 0.27B
HMLU,661.3132487914708,497.1404652823405,164.17278350913026,33.02341993341697,capital - aluminum: 165.28B; capital - solar: 1.53B; shutdown - aluminum: 1.32B; startup - aluminum: 1.32B; capital - AC: 0.39B
HMMU,717.9707211762528,553.265901274813,164.70481990143983,29.76955917976033,capital - aluminum: 165.28B; shutdown - aluminum: 1.32B; startup - aluminum: 1.32B; capital - onwind: 0.76B; capital - biomass: 0.35B
LHHU,592.0173141023927,564.6768434189423,27.340470683450317,4.84179066347263,capital - aluminum: 22.33B; shutdown - aluminum: 4.35B; startup - aluminum: 3.30B; capital - onwind: 1.45B; capital - biomass: 0.59B
LHLU,524.8900436337913,497.1404652823405,27.749578351450868,5.58183859277902,capital - aluminum: 22.33B; shutdown - aluminum: 4.31B; startup - aluminum: 3.30B; capital - solar: 1.16B; capital - onwind: 1.00B
LHMU,580.9907795027468,553.265901274813,27.72487822793384,5.01113084396694,capital - aluminum: 22.33B; shutdown - aluminum: 4.42B; startup - aluminum: 3.30B; capital - onwind: 1.84B; capital - biomass: 0.91B
LLHU,593.832118452029,564.6768434189423,29.15527503308667,5.1631787938319835,capital - aluminum: 22.33B; shutdown - aluminum: 3.30B; startup - aluminum: 3.30B; capital - onwind: 0.65B; marginal - coal cc: 0.33B
LLLU,525.4049276320628,497.1404652823405,28.26446234972241,5.685407711414159,capital - aluminum: 22.33B; shutdown - aluminum: 3.37B; startup - aluminum: 3.30B; capital - onwind: 0.39B; capital - biomass: 0.22B
LLMU,582.5208315696609,553.265901274813,29.2549302948479,5.287679979452894,capital - aluminum: 22.33B; shutdown - aluminum: 3.30B; startup - aluminum: 3.30B; capital - onwind: 0.81B; capital - biomass: 0.26B
LMHU,617.2259098848832,564.6768434189423,52.5490664659408,9.306042399006937,shutdown - aluminum: 29.72B; capital - aluminum: 22.33B; startup - aluminum: 3.30B; capital - onwind: 0.62B; capital - biomass: 0.29B
LMLU,522.4481749975649,497.1404652823405,25.307709715224487,5.090655756789282,capital - aluminum: 22.33B; shutdown - aluminum: 3.30B; startup - aluminum: 3.30B; capital - solar: 1.37B; capital - AC: 0.38B
LMMU,579.0765463532549,553.265901274813,25.810645078441894,4.665142930184211,capital - aluminum: 22.33B; shutdown - aluminum: 3.30B; startup - aluminum: 3.30B; capital - onwind: 0.87B; capital - biomass: 0.31B
MHHU,583.1129399495774,564.6768434189423,18.43609653063501,3.2648933182756688,capital - aluminum: 22.33B; shutdown - aluminum: 0.49B; startup - aluminum: 0.49B; marginal - aluminum: 0.32B; capital - solar: 0.20B
MHLU,519.9933922803227,497.1404652823405,22.852926997982237,4.59687524832713,capital - aluminum: 22.33B; shutdown - aluminum: 5.02B; capital - solar: 2.09B; startup - aluminum: 0.77B; capital - onwind: 0.59B
MHMU,574.9179790979662,553.265901274813,21.6520778231532,3.9135030323147246,capital - aluminum: 22.33B; shutdown - aluminum: 3.19B; startup - aluminum: 0.49B; marginal - aluminum: 0.32B; capital - heat pump: 0.31B
