Demand,Market,Flexibility,Category,Value (CNY),Value (Billion CNY),Scenario_Code
L,L,L,Non-renewable investment,-4614752899,-4.614752899,LLLU
L,L,L,Renewable investment,2048785458,2.048785458,LLLU
L,L,L,Non-renewable operation,-3779997436,-3.779997436,LLLU
L,L,L,Transmission lines,-1408006674,-1.408006674,LLLU
L,L,L,Long-duration storages,825080451.6,0.825080452,LLLU
L,L,L,Batteries,-431086679.7,-0.43108668,LLLU
L,L,L,Heating electrification,616419089.7,0.61641909,LLLU
L,L,M,Non-renewable investment,-11731368833,-11.73136883,MLLU
L,L,M,Renewable investment,3700813292,3.700813292,MLLU
L,L,M,Non-renewable operation,-11663115835,-11.66311584,MLLU
L,L,M,Transmission lines,850216265.8,0.850216266,MLLU
L,L,M,Long-duration storages,342603790.2,0.34260379,MLLU
L,L,M,Batteries,2206266910,2.20626691,MLLU
L,L,M,Heating electrification,687860791.6,0.687860792,MLLU
L,L,H,Non-renewable investment,-13240898400,-13.2408984,HLLU
L,L,H,Renewable investment,6111599847,6.111599847,HLLU
L,L,H,Non-renewable operation,-13809039178,-13.80903918,HLLU
L,L,H,Transmission lines,1211214155,1.211214155,HLLU
L,L,H,Long-duration storages,309138517.1,0.309138517,HLLU
L,L,H,Batteries,2924940741,2.924940741,HLLU
L,L,H,Heating electrification,791575443.3,0.791575443,HLLU
L,L,N,Non-renewable investment,-5116279088,-5.116279088,NLLU
L,L,N,Renewable investment,-5609936330,-5.60993633,NLLU
L,L,N,Non-renewable operation,-3910087633,-3.910087633,NLLU
L,L,N,Transmission lines,-198910815.4,-0.198910815,NLLU
L,L,N,Long-duration storages,-163220988.1,-0.163220988,NLLU
L,L,N,Batteries,-1787554358,-1.787554358,NLLU
L,L,N,Heating electrification,127499971,0.127499971,NLLU
L,M,L,Non-renewable investment,-4614752899,-4.614752899,LLMU
L,M,L,Renewable investment,2048785458,2.048785458,LLMU
L,M,L,Non-renewable operation,-3779997436,-3.779997436,LLMU
L,M,L,Transmission lines,-1408006674,-1.408006674,LLMU
L,M,L,Long-duration storages,825080451.6,0.825080452,LLMU
L,M,L,Batteries,-431086679.7,-0.43108668,LLMU
L,M,L,Heating electrification,616419089.7,0.61641909,LLMU
