Scenario,Flexibility,Demand,Market,Top Category 1,Top Category 2,Top Category 3
LHHU,L,H,H,Non-renewable investment: -19.38B,Non-renewable operation: -18.58B,Renewable investment: 16.29B
MHHU,M,H,H,Non-renewable operation: -17.68B,Non-renewable investment: -10.68B,Renewable investment: -10.06B
HHHU,H,H,H,Non-renewable operation: -21.20B,Non-renewable investment: -16.37B,Renewable investment: -6.58B
NHHU,N,H,H,Non-renewable investment: -31.37B,Non-renewable operation: -26.31B,Renewable investment: 11.85B
LHLU,L,H,L,Non-renewable investment: -25.82B,Renewable investment: 21.99B,Non-renewable operation: -19.63B
MHLU,M,H,L,Non-renewable investment: -30.34B,Non-renewable operation: -29.26B,Renewable investment: 10.73B
HHLU,H,H,L,Non-renewable investment: -30.74B,Non-renewable operation: -29.82B,Renewable investment: 10.43B
NHLU,N,H,L,Non-renewable investment: -37.84B,Non-renewable operation: -33.58B,Renewable investment: 18.81B
LHMU,L,H,M,Non-renewable investment: -20.59B,Renewable investment: 17.27B,Non-renewable operation: -17.01B
MHMU,M,H,M,Non-renewable operation: -14.33B,Renewable investment: -14.31B,Non-renewable investment: -9.27B
HHMU,H,H,M,Non-renewable operation: -19.06B,Non-renewable investment: -17.98B,Renewable investment: -6.42B
NHMU,N,H,M,Non-renewable investment: -28.58B,Non-renewable operation: -24.70B,Renewable investment: 8.50B
LLHU,L,L,H,Non-renewable investment: -4.61B,Non-renewable operation: -3.78B,Renewable investment: 2.05B
MLHU,M,L,H,Non-renewable investment: -10.35B,Non-renewable operation: -10.10B,Renewable investment: 4.40B
HLHU,H,L,H,Non-renewable operation: -10.81B,Non-renewable investment: -10.80B,Renewable investment: 5.32B
NLHU,N,L,H,Non-renewable investment: -9.70B,Non-renewable operation: -9.66B,Renewable investment: 3.38B
LLLU,L,L,L,Non-renewable investment: -4.61B,Non-renewable operation: -3.78B,Renewable investment: 2.05B
MLLU,M,L,L,Non-renewable investment: -11.73B,Non-renewable operation: -11.66B,Renewable investment: 3.70B
HLLU,H,L,L,Non-renewable operation: -13.81B,Non-renewable investment: -13.24B,Renewable investment: 6.11B
NLLU,N,L,L,Renewable investment: -5.61B,Non-renewable investment: -5.12B,Non-renewable operation: -3.91B
LLMU,L,L,M,Non-renewable investment: -4.61B,Non-renewable operation: -3.78B,Renewable investment: 2.05B
MLMU,M,L,M,Non-renewable investment: -12.38B,Non-renewable operation: -11.87B,Renewable investment: 7.12B
HLMU,H,L,M,Non-renewable investment: -12.42B,Non-renewable operation: -12.09B,Renewable investment: 7.29B
NLMU,N,L,M,Non-renewable investment: -11.00B,Non-renewable operation: -10.61B,Renewable investment: 6.05B
LMHU,L,M,H,Non-renewable operation: -14.09B,Non-renewable investment: -13.85B,Renewable investment: 5.35B
MMHU,M,M,H,Non-renewable investment: -17.64B,Non-renewable operation: -16.67B,Renewable investment: 7.75B
HMHU,H,M,H,Non-renewable investment: -17.97B,Non-renewable operation: -16.37B,Renewable investment: 7.78B
NMHU,N,M,H,Non-renewable investment: -19.88B,Non-renewable operation: -19.16B,Renewable investment: 13.83B
LMLU,L,M,L,Non-renewable investment: -24.68B,Non-renewable operation: -24.56B,Renewable investment: 13.54B
MMLU,M,M,L,Non-renewable investment: -25.72B,Non-renewable operation: -25.47B,Renewable investment: 14.57B
HMLU,H,M,L,Non-renewable operation: -25.76B,Non-renewable investment: -25.75B,Renewable investment: 14.71B
NMLU,N,M,L,Non-renewable operation: -24.97B,Non-renewable investment: -24.13B,Renewable investment: 14.28B
LMMU,L,M,M,Non-renewable investment: -19.33B,Non-renewable operation: -16.54B,Renewable investment: 9.09B
MMMU,M,M,M,Non-renewable investment: -19.46B,Non-renewable operation: -16.98B,Renewable investment: 8.97B
HMMU,H,M,M,Non-renewable investment: -19.41B,Non-renewable operation: -16.78B,Renewable investment: 8.88B
NMMU,N,M,M,Non-renewable investment: -21.84B,Non-renewable operation: -18.84B,Renewable investment: 14.58B
