Scenario,Flexibility,Demand,Market,Top Category 1,Top Category 2,Top Category 3
LHHU,L,H,H,N/A,N/A,N/A
MHHU,M,H,H,N/A,N/A,N/A
HHHU,H,H,H,N/A,N/A,N/A
NHHU,N,H,H,N/A,N/A,N/A
LHLU,L,H,L,N/A,N/A,N/A
MHLU,M,H,L,N/A,N/A,N/A
HHLU,H,H,L,N/A,N/A,N/A
NHLU,N,H,L,N/A,N/A,N/A
LHMU,L,H,M,N/A,N/A,N/A
MHMU,M,H,M,N/A,N/A,N/A
HHMU,H,H,M,N/A,N/A,N/A
NHMU,N,H,M,N/A,N/A,N/A
LLHU,L,L,H,N/A,N/A,N/A
MLHU,M,L,H,N/A,N/A,N/A
HLHU,H,L,H,N/A,N/A,N/A
NLHU,N,L,H,N/A,N/A,N/A
LLLU,L,L,L,N/A,N/A,N/A
MLLU,M,L,L,N/A,N/A,N/A
HLLU,H,L,L,N/A,N/A,N/A
NLLU,N,L,L,N/A,N/A,N/A
LLMU,L,L,M,N/A,N/A,N/A
MLMU,M,L,M,N/A,N/A,N/A
HLMU,H,L,M,N/A,N/A,N/A
NLMU,N,L,M,N/A,N/A,N/A
LMHU,L,M,H,N/A,N/A,N/A
MMHU,M,M,H,N/A,N/A,N/A
HMHU,H,M,H,N/A,N/A,N/A
NMHU,N,M,H,N/A,N/A,N/A
LMLU,L,M,L,N/A,N/A,N/A
MMLU,M,M,L,N/A,N/A,N/A
HMLU,H,M,L,N/A,N/A,N/A
NMLU,N,M,L,N/A,N/A,N/A
LMMU,L,M,M,N/A,N/A,N/A
MMMU,M,M,M,N/A,N/A,N/A
HMMU,H,M,M,N/A,N/A,N/A
NMMU,N,M,M,N/A,N/A,N/A
