Scenario,Total_100p_Billion_EUR,Total_Non_Flex_Billion_EUR,Total_Difference_Billion_EUR,Total_Difference_Percent,Top_5_Changes
HHHF,734.6473094456393,564.6768434189423,169.9704660266969,30.100484552824707,capital - aluminum: 165.28B; standby - aluminum: 5.45B; shutdown - aluminum: 2.26B; startup - aluminum: 2.26B; marginal - aluminum: 0.32B
HHLF,668.1224729044266,497.1404652823405,170.98200762208606,34.393098040204876,capital - aluminum: 165.28B; standby - aluminum: 5.43B; shutdown - aluminum: 2.84B; startup - aluminum: 2.84B; capital - solar: 1.83B
HHMF,723.5915107013524,553.265901274813,170.32560942653942,30.78548832199527,capital - aluminum: 165.28B; standby - aluminum: 5.44B; shutdown - aluminum: 2.26B; startup - aluminum: 2.26B; capital - biomass: 0.38B
HLHF,732.1005436289827,564.6768434189423,167.4237002100403,29.649471580301036,capital - aluminum: 165.28B; standby - aluminum: 1.49B; shutdown - aluminum: 1.32B; startup - aluminum: 1.32B; capital - onwind: 0.56B
HLLF,663.7885536030956,497.1404652823405,166.64808832075514,33.521328469230696,capital - aluminum: 165.28B; standby - aluminum: 1.44B; shutdown - aluminum: 1.07B; startup - aluminum: 1.07B; capital - solar: 0.86B
HLMF,720.6950667071135,553.265901274813,167.42916543230055,30.26197078954568,capital - aluminum: 165.28B; standby - aluminum: 1.49B; shutdown - aluminum: 1.32B; startup - aluminum: 1.32B; capital - onwind: 0.56B
HMHF,731.96955472912,564.6768434189423,167.29271131017762,29.626274436414352,capital - aluminum: 165.28B; standby - aluminum: 2.69B; shutdown - aluminum: 1.32B; startup - aluminum: 1.32B; capital - onwind: 0.85B
HMLF,663.9766158777044,497.1404652823405,166.8361505953639,33.559157269688924,capital - aluminum: 165.28B; standby - aluminum: 2.66B; capital - solar: 1.52B; shutdown - aluminum: 1.32B; startup - aluminum: 1.32B
HMMF,720.6081252468659,553.265901274813,167.34222397205298,30.246256562435853,capital - aluminum: 165.28B; standby - aluminum: 2.63B; shutdown - aluminum: 1.32B; startup - aluminum: 1.32B; capital - onwind: 0.85B
LHHF,723.2516872676291,564.6768434189423,158.57484384868675,28.08240601625622,shutdown - aluminum: 135.20B; capital - aluminum: 22.33B; startup - aluminum: 3.30B; capital - onwind: 1.42B; capital - biomass: 0.53B
LHLF,550.1868422208737,497.1404652823405,53.0463769385332,10.670299571853729,shutdown - aluminum: 29.22B; capital - aluminum: 22.33B; startup - aluminum: 3.30B; capital - solar: 1.15B; capital - onwind: 1.02B
LHMF,581.3053492949184,553.265901274813,28.039448020105468,5.067987735282095,capital - aluminum: 22.33B; shutdown - aluminum: 4.31B; startup - aluminum: 3.30B; capital - onwind: 1.76B; capital - biomass: 0.93B
LLHF,593.9300374291506,564.6768434189423,29.25319401020825,5.180519504410571,capital - aluminum: 22.33B; shutdown - aluminum: 3.30B; startup - aluminum: 3.30B; capital - onwind: 0.63B; marginal - coal cc: 0.32B
LLLF,525.5912532490514,497.1404652823405,28.450787966710937,5.722887182509457,capital - aluminum: 22.33B; shutdown - aluminum: 3.44B; startup - aluminum: 3.30B; capital - onwind: 0.44B; capital - biomass: 0.22B
LLMF,582.6285223033553,553.265901274813,29.362621028542357,5.307144532292012,capital - aluminum: 22.33B; shutdown - aluminum: 3.30B; startup - aluminum: 3.30B; capital - onwind: 0.82B; capital - biomass: 0.26B
LMHF,606.5738421594756,564.6768434189423,41.896998740533206,7.41964173470616,capital - aluminum: 22.33B; shutdown - aluminum: 18.37B; startup - aluminum: 3.30B; capital - onwind: 0.51B; capital - biomass: 0.29B
LMLF,522.6298195276698,497.1404652823405,25.489354245329405,5.127193625417973,capital - aluminum: 22.33B; shutdown - aluminum: 3.30B; startup - aluminum: 3.30B; capital - solar: 1.38B; capital - AC: 0.37B
LMMF,579.3949457122112,553.265901274813,26.129044437398193,4.7226919962341265,capital - aluminum: 22.33B; shutdown - aluminum: 3.30B; startup - aluminum: 3.30B; capital - onwind: 0.82B; capital - biomass: 0.31B
MHHF,606.6174475591351,564.6768434189423,41.94060414019275,7.427363921328074,shutdown - aluminum: 23.57B; capital - aluminum: 22.33B; startup - aluminum: 0.49B; standby - aluminum: 0.40B; marginal - aluminum: 0.32B
MHLF,516.3023999999714,497.1404652823405,19.16193471763092,3.8544307003350258,capital - aluminum: 22.33B; capital - solar: 2.10B; shutdown - aluminum: 0.92B; startup - aluminum: 0.77B; capital - onwind: 0.59B
MHMF,585.9832076143623,553.265901274813,32.71730633954932,5.9134868539997525,capital - aluminum: 22.33B; shutdown - aluminum: 13.91B; startup - aluminum: 0.49B; standby - aluminum: 0.39B; marginal - aluminum: 0.32B
MLHF,600.6536982414417,564.6768434189423,35.97685482249927,6.371229003242035,capital - aluminum: 22.33B; shutdown - aluminum: 15.01B; capital - onwind: 0.56B; startup - aluminum: 0.48B; standby - aluminum: 0.11B
MLLF,520.9215239719626,497.1404652823405,23.781058689622192,4.7835693029164785,capital - aluminum: 22.33B; shutdown - aluminum: 3.00B; capital - solar: 0.58B; startup - aluminum: 0.48B; capital - AC: 0.11B
