Demand,Market,Flexibility,Category,Value (CNY),Value (Billion CNY),Scenario_Code
L,L,L,Non-renewable investment,-5113941642,-5.113941642,LLLF
L,L,L,Renewable investment,2968529186,2.968529186,LLLF
L,L,L,Non-renewable operation,-4297919985,-4.297919985,LLLF
L,L,L,Transmission lines,-1338333694,-1.338333694,LLLF
L,L,L,Long-duration storages,841252436.6,0.841252437,LLLF
L,L,L,Batteries,-245086882.3,-0.245086882,LLLF
L,L,L,Heating electrification,661771702.9,0.661771703,LLLF
L,L,M,Non-renewable investment,-11849580078,-11.84958008,MLLF
L,L,M,Renewable investment,3739956752,3.739956752,MLLF
L,L,M,Non-renewable operation,-11381569368,-11.38156937,MLLF
L,L,M,Transmission lines,857202264.5,0.857202265,MLLF
L,L,M,Long-duration storages,198279102,0.198279102,MLLF
L,L,M,Batteries,2199275164,2.199275164,MLLF
L,L,M,Heating electrification,670903677.1,0.670903677,MLLF
L,L,H,Non-renewable investment,-13561126145,-13.56112615,HLLF
L,L,H,Renewable investment,6617622650,6.61762265,HLLF
L,L,H,Non-renewable operation,-14178788091,-14.17878809,HLLF
L,L,H,Transmission lines,1274405302,1.274405302,HLLF
L,L,H,Long-duration storages,310768554.4,0.310768554,HLLF
L,L,H,Batteries,3073829384,3.073829384,HLLF
L,L,H,Heating electrification,802411379.5,0.80241138,HLLF
L,L,N,Non-renewable investment,-4915516364,-4.915516364,NLLF
L,L,N,Renewable investment,-5926432408,-5.926432408,NLLF
L,L,N,Non-renewable operation,-3757531583,-3.757531583,NLLF
L,L,N,Transmission lines,-240412286.9,-0.240412287,NLLF
L,L,N,Long-duration storages,-160507874.9,-0.160507875,NLLF
L,L,N,Batteries,-1856608581,-1.856608581,NLLF
L,L,N,Heating electrification,115537569.7,0.11553757,NLLF
L,M,L,Non-renewable investment,-5113941642,-5.113941642,LLMF
L,M,L,Renewable investment,2968529186,2.968529186,LLMF
L,M,L,Non-renewable operation,-4297919985,-4.297919985,LLMF
L,M,L,Transmission lines,-1338333694,-1.338333694,LLMF
L,M,L,Long-duration storages,841252436.6,0.841252437,LLMF
L,M,L,Batteries,-245086882.3,-0.245086882,LLMF
L,M,L,Heating electrification,661771702.9,0.661771703,LLMF
L,M,M,Non-renewable investment,-12436591434,-12.43659143,MLMF
L,M,M,Renewable investment,7193221842,7.193221842,MLMF
L,M,M,Non-renewable operation,-11960625333,-11.96062533,MLMF
L,M,M,Transmission lines,86748896.48,0.086748896,MLMF
L,M,M,Long-duration storages,534698440.5,0.53469844,MLMF
L,M,M,Batteries,457971477,0.457971477,MLMF
L,M,M,Heating electrification,-24065493,-0.024065493,MLMF
L,M,H,Non-renewable investment,-12582364951,-12.58236495,HLMF
L,M,H,Renewable investment,7516330360,7.51633036,HLMF
L,M,H,Non-renewable operation,-12204411310,-12.20441131,HLMF
L,M,H,Transmission lines,95869404.84,0.095869405,HLMF
L,M,H,Long-duration storages,327441387.5,0.327441387,HLMF
L,M,H,Batteries,451410586.3,0.451410586,HLMF
L,M,H,Heating electrification,-15611948.45,-0.015611948,HLMF
L,M,N,Non-renewable investment,-11032508225,-11.03250822,NLMF
L,M,N,Renewable investment,6177149201,6.177149201,NLMF
L,M,N,Non-renewable operation,-10621900887,-10.62190089,NLMF
L,M,N,Transmission lines,-193637968.6,-0.193637969,NLMF
L,M,N,Long-duration storages,-2410775660,-2.41077566,NLMF
L,M,N,Batteries,-924033092.5,-0.924033093,NLMF
L,M,N,Heating electrification,307329415.8,0.307329416,NLMF
L,H,L,Non-renewable investment,-5113941642,-5.113941642,LLHF
L,H,L,Renewable investment,2968529186,2.968529186,LLHF
L,H,L,Non-renewable operation,-4297919985,-4.297919985,LLHF
L,H,L,Transmission lines,-1338333694,-1.338333694,LLHF
L,H,L,Long-duration storages,841252436.6,0.841252437,LLHF
L,H,L,Batteries,-245086882.3,-0.245086882,LLHF
L,H,L,Heating electrification,661771702.9,0.661771703,LLHF
L,H,M,Non-renewable investment,-10329986400,-10.3299864,MLHF
L,H,M,Renewable investment,4421828301,4.421828301,MLHF
L,H,M,Non-renewable operation,-10076671841,-10.07667184,MLHF
L,H,M,Transmission lines,-198140728.4,-0.198140728,MLHF
L,H,M,Long-duration storages,65500310.74,0.065500311,MLHF
L,H,M,Batteries,298952929.3,0.298952929,MLHF
L,H,M,Heating electrification,-399025315.4,-0.399025315,MLHF
L,H,H,Non-renewable investment,-10773636133,-10.77363613,HLHF
L,H,H,Renewable investment,5135393499,5.135393499,HLHF
L,H,H,Non-renewable operation,-10599572039,-10.59957204,HLHF
L,H,H,Transmission lines,-285551165.8,-0.285551166,HLHF
L,H,H,Long-duration storages,31147427.27,0.031147427,HLHF
L,H,H,Batteries,253523017.9,0.253523018,HLHF
L,H,H,Heating electrification,-444292461.9,-0.444292462,HLHF
L,H,N,Non-renewable investment,-9789906519,-9.789906519,NLHF
L,H,N,Renewable investment,3546725571,3.546725571,NLHF
L,H,N,Non-renewable operation,-9705073053,-9.705073053,NLHF
L,H,N,Transmission lines,-461540662.2,-0.461540662,NLHF
