Scenario,Flexibility,Demand,Market,Top Category 1,Top Category 2,Top Category 3
LHHF,L,H,H,Non-renewable investment: -18.74B,Non-renewable operation: -18.39B,Renewable investment: 15.62B
MHHF,M,H,H,Non-renewable operation: -17.64B,Non-renewable investment: -10.93B,Renewable investment: -9.68B
HHHF,H,H,H,Non-renewable operation: -21.41B,Non-renewable investment: -16.29B,Renewable investment: -6.70B
NHHF,N,H,H,Non-renewable investment: -31.37B,Non-renewable operation: -26.31B,Renewable investment: 11.84B
LHLF,L,H,L,Non-renewable investment: -25.85B,Renewable investment: 22.07B,Non-renewable operation: -19.70B
MHLF,M,H,L,Non-renewable investment: -30.44B,Non-renewable operation: -29.31B,Renewable investment: 10.94B
HHLF,H,H,L,Non-renewable investment: -30.71B,Non-renewable operation: -29.84B,Renewable investment: 10.24B
NHLF,N,H,L,Non-renewable investment: -37.75B,Non-renewable operation: -33.51B,Renewable investment: 18.62B
LHMF,L,H,M,Non-renewable investment: -19.97B,Non-renewable operation: -16.11B,Renewable investment: 15.98B
MHMF,M,H,M,Renewable investment: -14.57B,Non-renewable operation: -14.39B,Non-renewable investment: -9.20B
HHMF,H,H,M,Non-renewable operation: -19.08B,Non-renewable investment: -17.51B,Renewable investment: -6.64B
NHMF,N,H,M,Non-renewable investment: -28.58B,Non-renewable operation: -24.70B,Renewable investment: 8.49B
LLHF,L,L,H,Non-renewable investment: -5.11B,Non-renewable operation: -4.30B,Renewable investment: 2.97B
MLHF,M,L,H,Non-renewable investment: -10.33B,Non-renewable operation: -10.08B,Renewable investment: 4.42B
HLHF,H,L,H,Non-renewable investment: -10.77B,Non-renewable operation: -10.60B,Renewable investment: 5.14B
NLHF,N,L,H,Non-renewable investment: -9.79B,Non-renewable operation: -9.71B,Renewable investment: 3.55B
LLLF,L,L,L,Non-renewable investment: -5.11B,Non-renewable operation: -4.30B,Renewable investment: 2.97B
MLLF,M,L,L,Non-renewable investment: -11.85B,Non-renewable operation: -11.38B,Renewable investment: 3.74B
HLLF,H,L,L,Non-renewable operation: -14.18B,Non-renewable investment: -13.56B,Renewable investment: 6.62B
NLLF,N,L,L,Renewable investment: -5.93B,Non-renewable investment: -4.92B,Non-renewable operation: -3.76B
LLMF,L,L,M,Non-renewable investment: -5.11B,Non-renewable operation: -4.30B,Renewable investment: 2.97B
MLMF,M,L,M,Non-renewable investment: -12.44B,Non-renewable operation: -11.96B,Renewable investment: 7.19B
HLMF,H,L,M,Non-renewable investment: -12.58B,Non-renewable operation: -12.20B,Renewable investment: 7.52B
NLMF,N,L,M,Non-renewable investment: -11.03B,Non-renewable operation: -10.62B,Renewable investment: 6.18B
LMHF,L,M,H,Non-renewable operation: -11.03B,Non-renewable investment: -10.65B,Renewable investment: 3.03B
MMHF,M,M,H,Non-renewable investment: -17.66B,Non-renewable operation: -16.71B,Renewable investment: 7.77B
HMHF,H,M,H,Non-renewable investment: -18.17B,Non-renewable operation: -16.52B,Renewable investment: 7.86B
NMHF,N,M,H,Non-renewable investment: -19.83B,Non-renewable operation: -19.12B,Renewable investment: 13.77B
LMLF,L,M,L,Non-renewable investment: -24.53B,Non-renewable operation: -24.52B,Renewable investment: 13.54B
MMLF,M,M,L,Non-renewable investment: -25.62B,Non-renewable operation: -25.33B,Renewable investment: 14.39B
HMLF,H,M,L,Non-renewable investment: -25.68B,Non-renewable operation: -25.58B,Renewable investment: 14.53B
NMLF,N,M,L,Non-renewable operation: -24.92B,Non-renewable investment: -24.07B,Renewable investment: 14.16B
LMMF,L,M,M,Non-renewable investment: -18.23B,Non-renewable operation: -15.79B,Renewable investment: 8.31B
MMMF,M,M,M,Non-renewable investment: -19.39B,Non-renewable operation: -16.92B,Renewable investment: 8.75B
HMMF,H,M,M,Non-renewable investment: -19.80B,Non-renewable operation: -17.00B,Renewable investment: 9.24B
NMMF,N,M,M,Non-renewable investment: -21.89B,Non-renewable operation: -18.88B,Renewable investment: 14.70B
